2020-04-10 14:39:09.729[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@76884e4b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@126945f9, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2a898881, org.springframework.test.context.support.DirtiesContextTestExecutionListener@16c63f5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@35229f85, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6d3c5255, org.springframework.test.context.event.EventPublishingTestExecutionListener@b1712f3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6986bbaf, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4879dfad, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4758820d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@74eb909f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@28ec166e]
2020-04-10 14:39:10.075[main][main] INFO  c.m.g.demo.mapper.MessageMapperTest - Starting MessageMapperTest on DESKTOP-7FGB2I0 with PID 13352 (started by Asus in E:\java\mybatis-generator-demo)
2020-04-10 14:39:10.076[main][main] INFO  c.m.g.demo.mapper.MessageMapperTest - No active profile set, falling back to default profiles: default
2020-04-10 14:39:10.513[main][main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-04-10 14:39:10.758[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-04-10 14:39:10.946[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-04-10 14:39:11.232[main][main] INFO  c.m.g.demo.mapper.MessageMapperTest - Started MessageMapperTest in 1.463 seconds (JVM running for 2.605)
2020-04-10 14:39:11.572[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-04-10 14:39:11.594[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-04-10 14:44:08.296[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mybatis.generator.demo.mapper.MessageMapperTest], using SpringBootContextLoader
2020-04-10 14:44:08.302[main][main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.mybatis.generator.demo.mapper.MessageMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-10 14:44:08.302[main][main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.mybatis.generator.demo.mapper.MessageMapperTest]: MessageMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-10 14:44:08.398[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.mybatis.generator.demo.MybatisGeneratorDemoApplication for test class com.mybatis.generator.demo.mapper.MessageMapperTest
